x,y
71.065013,58.951222
71.245415,59.702255
63.897511,61.582566
66.1902,59.004722
68.01883,65.060922
62.9267,59.661916
62.275605,58.442437
64.700546,61.479739
61.207103,55.459491
64.706859,61.481237
61.816896,62.869562
64.415391,61.495254
67.192576,61.484875
64.977783,57.454827
64.536515,61.503065
71.895333,61.178427
65.503688,61.032051
64.203424,61.55817
67.186584,63.546444
64.410469,64.673796
63.328057,60.888457
64.354508,61.278151
67.379826,59.717128
70.77301,64.581669
63.937957,59.570859
64.326474,62.336488
60.209328,61.053772
64.746449,60.286903
64.971898,61.532383
60.864168,61.011721
65.535895,55.426963
63.049108,61.394139
66.936953,58.965988
59.945359,53.516478
67.005968,60.956509
65.341262,59.032007
63.924796,60.98358
64.262274,64.150245
64.645976,59.385321
65.684197,58.895261
66.05217,59.058115
66.952896,62.00222
64.8741,60.637756
68.325813,59.792349
62.292832,67.450981
58.213992,61.823102
67.548779,61.883557
60.088418,66.526929
64.732111,61.500711
64.765388,59.506338
66.11637,63.375351
59.481728,68.522907
56.341813,54.507619
64.611843,61.246372
64.053838,66.3293
64.559413,63.051034
70.347685,60.749678
65.727853,64.119857
61.899072,67.563438
69.033297,63.687363
73.617605,57.088245
70.243039,61.311749
57.783103,60.336016
63.923726,57.604734
65.649315,61.496431
67.270472,58.041829
64.644799,61.438437
64.534482,53.284609
64.82595,57.06417
63.791153,56.662492
65.30531,59.131196
64.005688,56.867611
66.386866,54.751258
64.221614,66.562453
64.523247,61.845037
55.170484,57.848801
64.900636,61.458232
63.50343,66.67277
64.957988,63.7185
62.458896,60.256622
65.916708,57.117349
66.816364,62.554554
64.674866,61.489262
66.950863,70.635515
64.347232,62.041917
60.470836,59.631635
68.417726,57.555621
65.569493,57.512179
62.450871,69.783474
64.179456,63.823788
64.76175,61.340104
64.920966,64.345092
65.381708,61.184098
61.57208,60.830677
65.947203,56.658212
64.834189,61.261031
65.193602,62.785674
69.266878,61.97333
64.941403,61.14194
60.23244,59.836861
72.798199,66.426777
75.6597,64.356541
64.659458,61.457376
65.796119,64.301222
65.431356,53.84454
64.605423,61.468718
59.03618,62.998176
58.425317,61.035903
60.904079,59.845849
73.692184,60.856678
64.635169,61.427737
64.928563,61.214807
62.979879,66.617344
65.68088,57.155869
61.660141,58.554573
63.887239,60.796972
64.343273,61.162163
64.843177,60.928582
63.493586,59.894748
63.468762,66.631575
65.248172,57.029074
76.253336,65.006887
62.600136,54.045379
56.278469,60.528509
70.654989,62.691407
65.013628,61.412757
64.628107,61.373809
63.288788,61.106309
65.683876,62.604523
69.064648,70.671146
57.627097,70.047443
59.430903,64.686957
63.94534,62.726182
62.712379,60.716615
58.340145,57.760954
69.452416,61.603431
64.106161,66.016539
60.322641,59.861578
66.095719,65.691473
66.218983,61.765001
60.689116,59.924708
68.119196,57.064063
59.958734,60.766798
63.666498,67.714308
64.828732,58.91848
64.665664,61.356475
64.272653,64.151315
63.867337,62.003932
65.798901,57.884432
64.672405,61.1398
64.595686,61.373595
70.427293,60.855501
64.067213,62.374794
71.825783,63.157606
63.484919,57.147095
70.404395,48.514335
65.115599,63.159746
66.661428,54.36135
64.4033,60.924837
68.590317,63.458918
63.093406,68.533286
60.729455,61.412864
59.821346,60.999416
68.419117,62.932585
60.627163,57.522344
60.83699,61.988845
70.68955,65.809066
71.437373,61.114548
63.857172,56.702831
64.853877,66.109522
65.91842,63.213353
64.507411,56.481448
61.132738,63.573515
64.431869,58.199333
64.7457,61.343849
58.49048,59.924601
62.615865,59.386177
69.73618,63.073718
63.034984,57.413311
62.280099,58.114268
73.933576,59.486864
65.16621,59.110652
67.637375,57.931191
64.568615,67.473986
67.224248,65.934898
61.764894,61.425811
64.63763,61.459944
65.046477,61.691492
64.271155,68.36123
64.212519,57.681453
67.536474,60.504862
74.434122,69.788717
66.280615,60.721537
65.611437,61.197794
60.714796,62.060535
63.192381,66.694598
64.872923,71.716001
62.613725,61.432231
67.941469,61.95514
65.763805,61.464759
63.457527,61.973116
64.941831,61.675763
64.904809,61.404411
63.566988,67.352648
73.155579,62.222212
64.36371,61.758581
64.526885,63.110526
65.972027,66.233749
64.998541,51.048095
65.439167,61.27141
62.029184,60.813878
64.508909,63.691215
64.204173,59.613873
64.832691,62.009282
62.035711,60.850686
64.876668,58.246199
64.837506,61.388896
64.857408,61.533132
71.419504,61.051097
62.065136,60.455963
63.964814,61.644091
65.298141,61.463154
64.612485,61.54426
66.807483,56.940371
64.18609,63.24877
61.756869,66.029165
70.449121,65.412524
60.29022,51.419813
65.37486,55.941633
60.928154,60.75353
67.166789,61.924859
63.430028,62.545673
57.863781,67.035179
63.325061,68.383272
68.193561,58.803669
68.274346,67.348047
65.410705,60.000999
69.240021,61.402271
55.960251,63.727167
64.327009,56.905275
57.116493,60.388339
69.446638,56.582991
66.444325,60.384808
66.597549,62.401544
63.881782,68.792226
58.988137,61.709147
65.138176,65.326175
74.681613,65.773007
70.436067,62.302248
58.489624,64.114828
71.964455,60.398076
68.1055,62.851907
74.487408,58.711435
57.089957,62.300429
56.367814,59.013068
59.175066,64.886726
74.536307,64.587768
63.019148,63.925545
76.626873,66.524147
65.112603,62.735277
59.639446,60.672531
63.129358,65.36523
63.059808,60.253733
66.812405,55.202477
60.506681,59.011784
62.583765,61.489262
62.357139,58.06569
68.415158,61.709896
65.087886,61.391036
71.002846,62.730355
67.20456,60.239502
63.924047,59.360069
63.685651,61.686356
70.417021,61.23075
70.569603,53.336718
64.886405,62.208302
68.691432,61.785331
62.858862,60.449971
63.04226,63.675593
64.401695,61.319881
62.120027,56.594012
66.524682,61.846321
59.793419,61.659285
66.362791,61.468076
63.55907,61.000165
57.991432,54.852373
63.54088,61.919295
64.485369,61.616699
67.564722,60.043692
63.823467,60.717043
65.411026,62.229488
60.834422,60.445477
63.543555,61.309609
63.880819,61.587916
61.932028,61.373274
72.09125,63.566667
63.420398,59.273506
63.561103,62.777007
71.529714,60.341259
67.360031,57.516994
85.764673,34.077574
85.778369,34.083994
87.102815,35.630786
85.651253,34.41548
81.04929,24.072432
90.365352,45.437122
85.290235,33.812214
83.455292,29.050607
85.300935,33.525026
85.741561,33.83768
83.852262,28.130514
86.256017,33.464464
88.880406,39.450258
85.865574,35.873783
85.80437,34.821438
86.462634,36.09538
84.512131,32.573154
85.985521,35.016285
85.692555,33.487576
85.839359,34.082282
86.023613,33.723511
85.613161,33.417384
83.559189,30.501099
85.304894,34.730916
85.765957,34.298208
86.582474,34.145305
85.806617,33.940614
93.175707,50.96731
87.774989,37.739007
85.716951,33.973463
85.441961,34.7215
86.160359,34.096085
85.961125,33.34334
85.754187,34.647884
85.312491,33.975389
84.33954,32.304905
84.572265,32.102568
87.433445,37.441975
85.363209,32.25729
86.09541,35.559631
86.53197,35.350553
85.825877,34.327419
85.212125,33.123241
87.715176,37.085772
87.162735,37.918874
85.660455,34.171948
85.823523,33.539792
87.140907,36.512038
85.237163,34.206937
83.046017,26.585755
85.970648,35.212951
85.883122,34.014658
86.62185,35.028055
85.099454,33.296046
88.85815,42.061272
83.290298,27.898003
85.604387,34.061417
85.901098,34.25391
85.892966,33.409038
88.158691,39.529973
85.962302,34.131074
86.976983,37.048857
85.482728,34.71294
85.647829,35.485801
86.396722,36.653385
86.054857,35.305292
85.342558,32.325663
85.968936,33.683279
81.908714,25.71638
85.121389,33.75957
85.02648,33.544179
86.532719,35.92418
84.629724,32.658861
87.403164,37.767255
88.406396,40.302406
85.096993,33.387852
86.529402,35.546363
86.626558,36.901304
85.522425,34.679556
93.965688,52.150944
85.436504,34.477326
88.255954,39.278737
79.904283,21.954902
80.967007,22.172861
85.117323,30.738853
85.651681,34.316291
83.833537,30.819103
85.296334,32.756445
85.629104,33.83019
86.330489,34.733912
85.905271,33.698366
85.686028,33.877805
87.009511,37.961139
85.769916,34.220098
85.3218,33.788246
88.15088,39.41987
86.818837,36.790452
85.712885,34.436131
86.032066,32.808554
86.00446,35.785187
89.256511,41.319013
85.897888,33.582271
86.380351,37.177792
87.431733,35.987631
84.169945,28.820664
88.234768,40.843612
85.323405,34.22288
85.682604,34.777461
86.308982,34.129362
85.690415,33.366666
82.324302,27.808444
85.308104,34.692396
86.392763,34.831282
85.154452,31.23009
85.420347,34.204155
86.174804,33.533479
84.608966,32.958996
85.671369,33.811465
85.086935,33.858331
86.568778,36.972887
86.504364,34.252519
83.448979,29.914204
83.742694,29.457956
85.339883,34.432493
85.787357,34.03777
84.277908,31.855505
86.391907,33.66327
85.672439,33.240192
85.642158,32.257611
85.126097,33.179951
87.114906,35.906846
86.874691,34.784737
86.347074,33.88476
82.989628,29.369895
85.614231,34.997667
86.296677,33.580987
86.006172,33.693551
85.815284,34.059705
88.466423,40.411332
87.109556,36.818272
86.065878,33.134797
86.350819,35.356224
86.003818,35.818892
87.46287,37.123008
90.086296,42.687436
87.327515,37.346424
87.592554,39.670571
84.128215,31.281664
83.905548,30.570114
86.17673,34.205332
84.612818,32.489694
85.950639,34.189175
89.150474,40.629398
82.713461,26.945382
85.772163,34.282693
83.349255,30.20503
87.131919,35.642984
86.14356,34.636756
85.71556,34.031243
85.570468,34.120588
85.392313,33.824091
86.260832,34.272207
82.376732,27.570583
88.351612,39.921486
84.742181,31.946455
85.748302,33.549315
86.121197,34.004707
86.766621,35.622975
89.695532,42.337011
86.728101,36.50626
83.243646,27.008833
87.767606,37.574655
85.813679,34.174195
83.399759,30.169613
86.697071,34.654411
85.046382,33.126023
87.12796,36.831861
89.093657,39.961183
84.973194,32.817328
85.818387,34.186928
86.04833,34.315542
85.491181,34.847974
89.929434,43.105806
85.590584,34.599841
86.040733,35.154208
86.066306,34.325814
85.927099,35.420959
85.924317,34.861777
83.904157,30.36232
85.647508,33.330179
85.814428,34.001604
85.97129,34.140383
86.806639,35.906739
85.956524,33.757216
85.603959,34.022041
87.037652,38.567722
85.674258,33.896423
89.679803,43.229284
81.854679,26.694039
85.633812,33.351793
86.332736,34.297887
86.184434,34.008131
85.418956,33.468316
85.884085,33.840141
85.755792,34.24856
85.740063,34.048791
89.974802,42.574016
88.759603,40.125749
88.896135,39.675707
86.132753,35.753087
86.029391,33.820881
86.508323,33.921247
82.402091,25.852805
86.063524,34.133642
89.201727,41.701431
85.368238,31.814203
85.060292,33.16786
85.731824,32.857346
86.622064,36.621606
85.023805,32.702624
86.590713,36.982838
86.830714,38.085473
85.739207,33.907551
85.96059,34.052429
86.103114,33.799267
85.279963,31.371758
87.075637,35.803163
86.987255,35.333968
88.387136,40.043252
85.702613,34.487063
85.964335,33.952812
85.841178,34.312011
83.793412,28.422945
85.453731,33.9511
85.758574,35.057908
85.451484,34.925228
85.493107,32.315498
85.871459,33.437179
85.577958,33.71356
84.946444,33.591901
86.101937,35.629609
84.942485,31.942175
85.273864,34.093731
85.670085,34.264289
85.79046,34.132144
86.239539,34.326135
85.270012,34.596524
87.836728,37.638641
86.499335,34.115987
81.885281,26.692113
88.190684,38.924032
85.490967,33.286844
85.298046,33.216973
85.662274,33.91686
86.010773,33.207771
85.202281,33.767274
85.722515,33.983307
85.777834,34.071261
85.790674,34.056067
85.961339,34.155684
86.020724,34.109567
86.262544,36.149843
84.485381,30.7839
85.769702,34.127329
86.054857,35.449528
85.564369,33.90081
81.297423,24.515412
85.495247,34.925228
84.924188,33.390955
86.27624,33.730894
84.127038,28.673432
87.863157,39.220315
85.803621,33.468958
83.728142,29.95251
85.988089,34.167561
85.064037,31.160112
85.029369,33.712383
85.524137,33.9725
85.412001,34.68512
86.071656,36.132081
87.538733,37.308332
86.723714,35.970083
84.91092,30.536944
85.741882,33.788353
86.524908,34.91624
87.060015,35.177855
85.703362,33.936655
85.290877,32.397567
85.860117,34.459136
86.783527,35.694665
84.178933,30.319948
82.813185,25.663843
85.996007,34.434205
83.79277,31.009135
85.625145,33.881764
86.394047,33.975389
85.380329,34.211538
86.138745,33.969183
85.724762,34.485886
90.596151,45.906317
85.759751,34.480643
86.251309,34.950052
86.740299,35.253076
85.740491,32.164842
85.64173,33.164436
85.774838,34.129255
85.514079,33.621005
85.092178,31.724216
86.423472,34.298636
85.649327,34.969847
85.725618,34.287294
86.646567,34.978728
88.444595,39.261938
86.073903,33.401548
84.316535,31.272676
85.726581,33.832437
40.475318,87.348487
43.466931,86.998704
42.958146,84.03459
48.005657,90.735358
46.48508,88.046662
39.504293,78.633765
44.216787,82.560665
39.527726,78.473158
40.506241,84.49469
45.38833,83.465564
44.511251,83.103797
45.084664,85.506589
46.294192,83.864032
40.984424,84.316856
44.338339,82.524606
45.50282,82.781727
50.197873,86.773897
47.398753,85.923568
37.137453,85.983274
44.169279,85.94026
37.757518,86.450864
47.324602,80.805758
44.558331,84.119013
44.9079,84.898829
45.256827,87.910665
42.800856,84.470829
45.965702,82.991447
48.959027,84.342215
44.449619,84.083489
41.682064,80.3249
44.468986,84.155393
47.448829,83.885539
43.312744,80.16547
41.664944,78.192176
50.662895,90.639486
52.602698,83.352679
46.810681,84.00891
48.42499,90.749589
44.640079,83.272001
43.440502,84.255973
46.819776,84.992561
44.974133,84.993631
44.829041,79.885665
50.228154,88.020233
42.552616,81.630514
44.741943,84.540272
43.579923,85.47909
38.554133,83.318011
50.696493,85.082869
47.636293,81.730131
47.779459,88.694868
43.872033,78.399328
42.42978,87.305152
43.623258,76.889344
44.628737,84.802315
47.32182,80.68335
44.033282,83.958406
43.636098,81.942312
42.160354,86.018798
51.481231,83.611191
42.384626,85.023698
49.063566,84.174011
44.910147,84.500468
45.418932,83.626064
40.41604,77.826343
47.971952,84.470615
44.108289,84.25715
43.735715,88.263872
44.620712,82.910983
42.294318,84.176686
44.141887,86.308554
44.095663,78.74344
43.551461,84.250195
40.30262,87.305152
42.430636,83.929516
54.413245,88.88597
44.299498,87.36122
47.163674,83.716265
46.753757,87.146792
42.132106,80.351971
44.76987,85.164403
45.581037,84.212103
44.358134,84.246985
43.732184,86.026609
40.430806,86.86153
44.637083,84.778347
49.259697,83.525163
41.609411,79.919263
42.333587,86.517097
41.348652,84.678516
47.151369,82.257427
46.912759,78.1421
39.679773,77.883588
45.252119,83.578984
41.896385,84.431453
43.085262,87.10442
50.757376,86.888173
43.460832,81.41202
49.623176,84.867478
47.754849,85.227961
43.047063,84.195411
44.292222,84.205897
45.480671,84.590562
44.611082,84.007091
45.370461,78.907471
44.666829,83.776185
44.476904,84.297168
44.514033,84.269134
44.674105,84.278336
49.13761,85.99804
47.918131,87.663174
44.747293,91.103973
44.661051,82.554459
47.231405,83.482149
42.760838,80.45758
39.94952,83.912824
44.857289,83.376005
46.514719,86.480075
42.550583,84.767326
44.086996,82.763858
43.602928,85.959841
39.070729,84.586175
49.148096,86.237827
45.953504,92.111485
51.373696,84.05706
36.905905,75.167072
43.973683,82.438257
43.59822,84.680228
44.990932,80.302965
42.558929,84.766149
43.701796,82.585061
42.565242,80.202813
45.58628,88.280243
43.609455,81.983721
44.331919,88.683205
43.93527,81.866877
44.125516,83.894848
43.478059,80.287771
45.198833,80.683136
44.516173,78.173558
44.352784,84.954362
42.637146,87.985779
45.408125,77.239876
43.21623,84.78894
42.896514,82.70244
43.053269,83.780679
50.602119,88.848841
44.792447,89.929541
35.203214,77.862295
44.792126,86.843126
45.513092,79.765397
50.388654,82.461583
42.863986,84.626621
44.175057,82.923502
52.688405,88.773085
42.808453,80.209019
44.691011,84.098255
45.44504,82.224792
41.346405,85.754508
